,#queryName,queryLength,firstQueryPos,lastQueryPos,hitName,hitLength,firstHitPos,lastHitPos,frame,hitDescription,numberOfHits,coverage,identity,evalue,score,hspLength,relIdentity
18,2719_g,2499,79.0,2496.0,Q4XRG3,886.0,5.0,787.0,1.0,Putative uncharacterized protein,30,0.94,325.0,1e-123,449.0,837.0,0.39
19,2720_g,2460,1192.0,2424.0,B3L1W1,689.0,270.0,682.0,1.0,"Cytoplasmic dynein inoermediate chain, ",30,0.6,279.0,1.0000000000000001e-171,609.0,413.0,0.68
20,2721_g,1596,1.0,1590.0,Q4YWE2,480.0,44.0,478.0,1.0,Putative uncharacterized protein,30,1.11,242.0,6e-99,367.0,534.0,0.46
21,2722_g,1722,,,,,,,,,0,,,,,,
22,2723_g,667,,,,,,,,,0,,,,,,
23,2724_g,1881,,,,,,,,,0,,,,,,
24,2725_g,5740,76.0,3357.0,Q8IEJ4,2361.0,173.0,1267.0,1.0,Putative uncharacterized protein,12,0.51,369.0,2e-127,463.0,1193.0,0.31
25,2726_g,755,,,,,,,,,0,,,,,,
26,2727_g,1290,1.0,1281.0,Q8IEJ6,429.0,1.0,428.0,1.0,"Branched-chain alpha keto-acid dehydrogenase, ",30,1.0,296.0,1e-179,634.0,428.0,0.7
27,2728_g,192,,,,,,,,,0,,,,,,
28,2729_g,1263,1.0,1260.0,A5K0M3,421.0,1.0,421.0,1.0,DnaJ domain containing protein,30,1.0,338.0,0.0,721.0,421.0,0.81
29,2730_g,555,1.0,552.0,Q549B9,184.0,1.0,184.0,1.0,41-2 antigen,30,1.0,151.0,5e-87,324.0,184.0,0.83
30,2731_g,4086,1018.0,3702.0,Q1JSB2,1383.0,538.0,1280.0,1.0,SWI/SNF family transcriptional activator ,30,0.51,285.0,3e-129,469.0,703.0,0.41
31,2732_g,2301,1696.0,2286.0,O96179,504.0,298.0,496.0,1.0,Conserved Plasmodium protein,3,0.41,65.0,2e-15,90.0,205.0,0.32
32,2733_g,582,315.0,467.0,O96181,1132.0,995.0,1045.0,-2.0,"Transporter, putative",3,0.05,33.0,8e-12,75.0,51.0,0.65
33,2734_g,105,,,,,,,,,0,,,,,,
34,2735_g,2961,322.0,2955.0,B3L0Q7,1024.0,12.0,547.0,1.0,Putative uncharacterized protein,30,0.31,192.0,2.9999999999999997e-106,392.0,316.0,0.61
35,2736_g,195,,,,,,,,,0,,,,,,
36,2737_g,4935,1.0,4932.0,Q8ILJ1,1477.0,1.0,1477.0,1.0,Putative uncharacterized protein,30,1.12,1098.0,0.0,1796.0,1656.0,0.67
37,2738_g,2470,337.0,1479.0,Q8I1U6,1485.0,45.0,373.0,1.0,Putative uncharacterized protein,7,0.26,132.0,9e-40,171.0,388.0,0.35
38,2739_g,384,,,,,,,,,0,,,,,,
39,2740_g,225,,,,,,,,,0,,,,,,
40,2741_g,822,1.0,378.0,B3L1G0,150.0,11.0,146.0,1.0,"Centrin, putative",30,0.91,73.0,2e-33,147.0,136.0,0.54
41,2742_g,3468,7.0,3465.0,Q8I5S4,1088.0,23.0,1088.0,1.0,"Bromodomain protein, putative",30,0.42,210.0,4e-93,348.0,457.0,0.46
42,2743_g,1269,193.0,1044.0,I2FKC9,313.0,32.0,310.0,1.0,Iron-sulfur subunit of succinate dehydrogenase ,30,0.91,226.0,1e-134,485.0,284.0,0.8
43,2744_g,1311,,,,,,,,,0,,,,,,
44,2745_g,1284,,,,,,,,,0,,,,,,
45,2746_g,525,46.0,483.0,I1MPW9,1025.0,322.0,463.0,1.0,Uncharacterized protein,12,0.14,49.0,3e-09,66.0,146.0,0.34
46,2747_g,1221,,,,,,,,,0,,,,,,
47,2748_g,11763,7108.0,11763.0,Q8IFP4,4261.0,1973.0,3520.0,1.0,"Erythrocyte membrane-associated antigen, ",30,0.05,152.0,8e-76,293.0,216.0,0.71
48,2749_g,4971,88.0,4962.0,A5K442,1626.0,12.0,1625.0,1.0,Putative uncharacterized protein,30,1.01,1057.0,0.0,2044.0,1648.0,0.65
49,2750_g,2619,823.0,1956.0,Q54SF4,935.0,1.0,404.0,1.0,Putative uncharacterized protein DDB_G0282499 ,30,0.44,97.0,6e-15,89.0,414.0,0.24
50,2751_g,1050,115.0,1049.0,Q8I3V7,488.0,70.0,472.0,1.0,Rhomboid protease ROM9,30,0.77,162.0,6e-53,210.0,376.0,0.44
51,2752_g,5553,847.0,5550.0,Q8I3V5,2133.0,282.0,2133.0,1.0,"Phosphatidylinositol 3-kinase, putative ",30,0.15,206.0,5e-108,399.0,319.0,0.65
52,2753_g,471,4.0,279.0,Q8I5R9,93.0,1.0,92.0,1.0,"Dynein light chain 1, putative",30,0.99,83.0,5e-43,178.0,92.0,0.91
53,2754_g,2220,25.0,2217.0,B3LCD4,715.0,7.0,715.0,1.0,Proline--tRNA ligase,30,1.02,512.0,0.0,1084.0,731.0,0.71
54,2755_g,2637,1.0,2634.0,B3LCD5,1652.0,1.0,1625.0,1.0,Putative uncharacterized protein,30,0.14,137.0,2.0000000000000002e-75,289.0,236.0,0.59
55,2756_g,1464,1147.0,1463.0,A5K3D7,2124.0,1634.0,1750.0,1.0,Putative uncharacterized protein,30,0.04,63.0,4e-31,140.0,92.0,0.69
56,2757_g,9069,7501.0,9066.0,Q8IKH4,3078.0,1387.0,2034.0,1.0,Putative uncharacterized protein,10,0.14,107.0,8e-20,107.0,444.0,0.25
57,2758_g,237,,,,,,,,,0,,,,,,
58,2759_g,1500,1.0,1482.0,B3L878,501.0,1.0,494.0,1.0,"Glycerol kinase, putative",30,0.99,349.0,0.0,712.0,494.0,0.71
59,2760_g,663,43.0,540.0,Q4YSV0,198.0,21.0,186.0,1.0,"Ribosomal protein L17, putative",30,0.86,98.0,1.9999999999999998e-50,204.0,170.0,0.58
60,2761_g,246,,,,,,,,,0,,,,,,
61,2762_g,447,,,,,,,,,0,,,,,,
62,2763_g,5844,130.0,5835.0,Q8I548,1681.0,49.0,1677.0,1.0,Conserved Plasmodium protein,30,0.39,182.0,6e-53,216.0,656.0,0.28
63,2764_g,1566,415.0,1527.0,Q8I547,490.0,124.0,478.0,1.0,Conserved Plasmodium protein,30,0.76,163.0,2e-79,301.0,371.0,0.44
64,2765_g,435,7.0,432.0,Q8I546,210.0,70.0,210.0,1.0,Conserved Plasmodium membrane protein ,6,0.68,82.0,5e-33,145.0,142.0,0.58
65,2766_g,351,28.0,309.0,E7DW37,588.0,108.0,222.0,1.0,Pol protein (Fragment),30,0.2,50.0,8e-17,91.0,115.0,0.44
66,2767_g,1656,,,,,,,,,0,,,,,,
67,2768_g,666,193.0,663.0,F0VLZ4,189.0,9.0,165.0,1.0,Putative uncharacterized protein,30,0.83,62.0,7e-28,129.0,157.0,0.4
68,2769_g,3018,172.0,2997.0,Q8IJM1,1136.0,26.0,1133.0,1.0,Conserved Plasmodium protein,7,1.01,365.0,1e-143,516.0,1150.0,0.32
69,2770_g,1413,7.0,1407.0,Q4Z3C8,467.0,2.0,466.0,1.0,"26s proteasome subunit p55, putative",30,1.0,293.0,1e-168,598.0,467.0,0.63
70,2771_g,4131,1.0,4125.0,Q8ILG6,1370.0,1.0,1369.0,1.0,"Coatamer protein, beta subunit, putative ",30,0.37,352.0,0.0,689.0,509.0,0.7
71,2772_g,204,,,,,,,,,0,,,,,,
72,2773_g,3786,1.0,2733.0,B3LA92,1252.0,1.0,938.0,1.0,"ATP-dependent DNA helicase, putative",30,0.77,548.0,0.0,976.0,960.0,0.58
73,2774_g,1068,1.0,1062.0,Q8ILG4,329.0,1.0,328.0,1.0,Putative uncharacterized protein,14,1.2,141.0,6e-51,206.0,394.0,0.36
74,2775_g,2589,1.0,2529.0,Q4XVK9,776.0,11.0,776.0,1.0,Putative uncharacterized protein,10,1.16,270.0,3e-90,339.0,900.0,0.3
75,2776_g,579,7.0,426.0,Q4Z5B9,153.0,7.0,150.0,1.0,"Translation initiation factor eIF-1A, ",30,0.94,121.0,4e-64,248.0,144.0,0.85
76,2777_g,279,,,,,,,,,0,,,,,,
77,2778_g,993,1.0,984.0,B3L5N8,333.0,1.0,330.0,1.0,"DNA-diDNA-directed RNA polymerase I, putative ",30,0.99,211.0,4e-119,433.0,330.0,0.64
78,2779_g,627,58.0,624.0,Q8IHT4,321.0,133.0,321.0,1.0,"DNAJ protein, putative",30,0.59,93.0,4e-48,196.0,189.0,0.5
79,2780_g,315,,,,,,,,,0,,,,,,
80,2781_g,1176,49.0,1059.0,Q8IBZ2,368.0,23.0,359.0,1.0,"Lysophospholipase, putative",30,0.92,188.0,2.9999999999999998e-114,417.0,338.0,0.56
81,2782_g,1185,1.0,1179.0,A5KAA3,961.0,637.0,960.0,1.0,Putative uncharacterized protein,30,0.11,100.0,8e-53,213.0,106.0,0.95
82,2783_g,5985,2245.0,5982.0,B3KZ45,2291.0,629.0,1964.0,1.0,Putative uncharacterized protein,30,0.14,191.0,2.0000000000000001e-88,334.0,312.0,0.62
83,2784_g,4230,244.0,2739.0,Q8IJF2,922.0,85.0,919.0,1.0,Conserved Plasmodium protein,16,0.54,259.0,1.0000000000000001e-124,454.0,495.0,0.53
84,2785_g,2346,484.0,2343.0,Q8IJF3,829.0,210.0,829.0,1.0,"Glucosamine-fructose-6-phosphate aminotransferase, ",30,0.75,454.0,0.0,909.0,620.0,0.74
85,2786_g,150,,,,,,,,,0,,,,,,
86,2787_g,246,1.0,165.0,Q7RGA3,86.0,1.0,55.0,1.0,Putative APC11 anaphase-promoting complex ,30,0.64,40.0,1e-17,94.0,55.0,0.73
87,2788_g,8001,1.0,6888.0,B3L7G3,2872.0,1.0,2404.0,1.0,"SNF2 family protein, putative",30,0.33,705.0,0.0,1327.0,951.0,0.75
88,2789_g,2580,739.0,1002.0,A5K7L4,1108.0,293.0,380.0,1.0,Putative uncharacterized protein,6,0.08,39.0,1e-16,94.0,88.0,0.45
89,2790_g,843,16.0,828.0,Q4Z5X9,283.0,6.0,279.0,1.0,"Protein kinase, putative",30,0.97,125.0,3e-66,256.0,274.0,0.46
90,2791_g,2835,22.0,2832.0,O97289,1074.0,8.0,1074.0,1.0,"Peptidase, putative",30,1.0,455.0,0.0,746.0,1073.0,0.43
91,2792_g,1227,445.0,1191.0,A5K7R8,283.0,38.0,270.0,1.0,Putative uncharacterized protein,4,0.88,73.0,1e-22,112.0,250.0,0.3
92,2793_g,1533,754.0,1530.0,O77394,307.0,70.0,307.0,1.0,Putative uncharacterized protein,12,0.86,118.0,7e-47,194.0,263.0,0.45
93,2794_g,807,247.0,801.0,Q7RJ08,302.0,117.0,301.0,1.0,Putative uncharacterized protein PY03458 ,14,0.61,162.0,7e-77,292.0,185.0,0.88
94,2795_g,3178,1538.0,3172.0,B3L7L8,1415.0,707.0,1369.0,2.0,Putative uncharacterized protein,8,0.2,136.0,5e-67,262.0,290.0,0.47
95,2796_g,7191,916.0,7185.0,A2EN31,5296.0,91.0,4984.0,1.0,"Viral A-type inclusion protein, putative ",30,0.35,354.0,1e-37,166.0,1869.0,0.19
96,2797_g,1887,,,,,,,,,0,,,,,,
97,2798_g,258,28.0,255.0,A5K2D3,133.0,24.0,99.0,1.0,Putative uncharacterized protein,12,0.57,58.0,9.999999999999999e-27,124.0,76.0,0.77
98,2799_g,8075,3.0,8072.0,C6KTD8,2907.0,88.0,2907.0,3.0,"DNA polymerase epsilon, catalytic subunit ",30,1.0,1877.0,0.0,3504.0,2910.0,0.65
99,2800_g,192,1.0,171.0,C6KTD8,2907.0,1.0,57.0,1.0,"DNA polymerase epsilon, catalytic subunit ",6,0.02,40.0,3e-17,92.0,57.0,0.71
100,2801_g,3717,118.0,3714.0,Q8ILZ2,4405.0,3612.0,4405.0,1.0,Putative uncharacterized protein,8,0.15,195.0,6e-65,255.0,674.0,0.29
101,2802_g,2253,4.0,2247.0,Q7RRU3,756.0,4.0,754.0,1.0,CTP synthase,30,1.01,475.0,0.0,822.0,761.0,0.63
102,2803_g,507,43.0,456.0,Q8ILZ4,349.0,50.0,190.0,1.0,"Alpha/beta hydrolase, putative",6,0.43,73.0,9.000000000000001e-29,130.0,149.0,0.49
103,2804_g,4143,25.0,3894.0,Q8IAN5,1467.0,5.0,1289.0,1.0,"AAA family ATPase, putative",30,0.41,271.0,7e-123,448.0,599.0,0.46
104,2805_g,3333,1.0,2712.0,B3KZB3,1052.0,1.0,855.0,1.0,"DNA repair protein rad54, putative",30,0.86,606.0,0.0,1133.0,905.0,0.67
105,2806_g,594,1.0,585.0,Q8IAN3,365.0,180.0,364.0,1.0,Mitogen-activated protein kinase organizer ,7,0.53,129.0,1.0000000000000001e-72,277.0,195.0,0.67
106,2807_g,314,3.0,311.0,B3L7U3,279.0,177.0,279.0,3.0,Putative uncharacterized protein,15,0.37,84.0,2e-46,189.0,103.0,0.82
107,2808_g,3522,1.0,2238.0,Q7RJY6,803.0,1.0,685.0,1.0,Putative uncharacterized protein PY03119 ,21,0.65,218.0,7.000000000000001e-81,308.0,520.0,0.42
108,2809_g,2841,37.0,1812.0,C6S3H8,876.0,6.0,600.0,1.0,"RNA helicase, putative",30,0.69,404.0,0.0,798.0,607.0,0.67
109,2810_g,444,292.0,404.0,Q8I2U3,163.0,14.0,81.0,-2.0,"Ubiquitin conjugating enzyme, putative ",6,0.2,28.0,4e-10,65.0,32.0,0.88
110,2811_g,2013,571.0,2010.0,Q7RIL7,464.0,53.0,464.0,1.0,Putative uncharacterized protein PY03602 ,30,1.04,188.0,9.999999999999999e-87,327.0,482.0,0.4
111,2812_g,1698,1.0,1497.0,B3L2M5,510.0,1.0,499.0,1.0,Inosine-5'-monophosphate dehydrogenase ,30,0.98,363.0,0.0,758.0,499.0,0.73
112,2813_g,1377,1.0,1365.0,Q4XZN6,495.0,1.0,371.0,1.0,Putative uncharacterized protein,7,0.92,191.0,6e-82,310.0,457.0,0.42
113,2814_g,1116,1.0,927.0,A5K6B1,443.0,1.0,309.0,1.0,TBC domain containing protein,30,0.7,217.0,3e-103,380.0,309.0,0.71
114,2815_g,339,28.0,333.0,B3L349,131.0,30.0,131.0,1.0,"Ribosomal protein l32, putative",30,0.78,70.0,4e-35,152.0,102.0,0.69
115,2816_g,4221,13.0,4203.0,A5K6A9,1409.0,68.0,1408.0,1.0,Putative uncharacterized protein,12,1.03,622.0,0.0,1110.0,1451.0,0.43
116,2817_g,138,,,,,,,,,0,,,,,,
117,2818_g,2570,,,,,,,,,0,,,,,,
118,2819_g,3396,2203.0,2739.0,F2DYS2,495.0,227.0,475.0,1.0,Predicted protein,30,0.36,50.0,6e-12,79.0,177.0,0.29
119,2820_g,1233,,,,,,,,,0,,,,,,
120,2821_g,579,142.0,576.0,Q4XPM8,194.0,1.0,194.0,1.0,Putative uncharacterized protein (Fragment) ,3,1.01,67.0,2e-20,103.0,195.0,0.35
121,2822_g,2296,434.0,2278.0,Q7RLU7,3189.0,2355.0,3029.0,2.0,"Zinc finger, C2H2 type, putative",5,0.22,211.0,4.0000000000000004e-60,238.0,712.0,0.3
122,2823_g,6609,136.0,6006.0,C0H487,3825.0,51.0,1966.0,1.0,Putative uncharacterized protein,6,0.31,325.0,3e-105,390.0,1175.0,0.28
123,2824_g,4017,1.0,3411.0,Q4Y7N7,1152.0,1.0,1125.0,1.0,Putative uncharacterized protein,30,0.51,346.0,3e-171,608.0,591.0,0.59
124,2825_g,315,,,,,,,,,0,,,,,,
125,2826_g,447,1.0,429.0,Q8IKZ3,1206.0,1054.0,1196.0,1.0,Putative uncharacterized protein,4,0.12,53.0,7.999999999999999e-25,117.0,143.0,0.38
126,2827_g,2910,1.0,2904.0,Q8IKZ3,1206.0,1.0,1048.0,1.0,Putative uncharacterized protein,12,0.91,412.0,0.0,715.0,1092.0,0.38
127,2828_g,30,,,,,,,,,0,,,,,,
128,2829_g,66,,,,,,,,,0,,,,,,
129,2830_g,1032,1.0,1029.0,Q8IDL4,347.0,1.0,347.0,1.0,"TBC domain protein, putative",30,1.0,293.0,2e-168,597.0,347.0,0.85
130,2831_g,216,,,,,,,,,0,,,,,,
131,2832_g,1227,67.0,1224.0,Q8IDL3,371.0,44.0,371.0,1.0,Putative uncharacterized protein,5,0.57,71.0,6e-25,120.0,213.0,0.34
132,2833_g,243,1.0,231.0,O15865,513.0,436.0,512.0,1.0,Calcium-dependent protein kinase 2,30,0.15,52.0,3.9999999999999997e-25,119.0,77.0,0.68
133,2834_g,1386,196.0,1320.0,O15865,513.0,55.0,429.0,1.0,Calcium-dependent protein kinase 2,19,0.73,285.0,1e-169,601.0,375.0,0.76
134,3001_g,1980,118.0,1971.0,B3L2I9,614.0,48.0,614.0,1.0,"N-glycosylase/dna lyase, putative",30,1.04,246.0,4e-100,371.0,640.0,0.39
135,3002_g,537,,,,,,,,,0,,,,,,
136,3003_g,351,,,,,,,,,0,,,,,,
137,3004_g,2097,1546.0,2088.0,B3L8A2,203.0,21.0,201.0,1.0,"Nucleoside diphospahte hydrolase, putative ",30,0.89,78.0,3e-35,155.0,181.0,0.44
138,3005_g,2670,514.0,2628.0,B3L8A1,802.0,43.0,780.0,1.0,"Glutamate--tRNA ligase, putative",30,0.74,353.0,0.0,717.0,592.0,0.6
139,3006_g,2571,1.0,2448.0,Q7RI21,695.0,1.0,676.0,1.0,Putative uncharacterized protein PY03810 ,15,0.96,269.0,1.0000000000000001e-124,453.0,666.0,0.41
140,3007_g,5127,466.0,2667.0,Q4XQ68,948.0,32.0,818.0,1.0,Putative uncharacterized protein (Fragment) ,30,0.86,343.0,2e-157,563.0,816.0,0.43
141,3008_g,192,,,,,,,,,0,,,,,,
142,3009_g,4998,1.0,4986.0,Q8I451,2754.0,1.0,1689.0,1.0,Putative uncharacterized protein,18,0.54,636.0,0.0,1030.0,1491.0,0.43
143,3010_g,2322,1.0,1236.0,Q7RMI6,1540.0,976.0,1467.0,1.0,Putative uncharacterized protein PY02194 ,7,0.19,110.0,1e-35,157.0,300.0,0.37
144,3011_g,1506,1.0,1506.0,Q7RR61,538.0,1.0,359.0,1.0,Actin-like 6,30,0.43,118.0,5e-60,237.0,229.0,0.52
145,3012_g,2955,1.0,2913.0,Q8I4W9,888.0,75.0,887.0,1.0,Conserved Plasmodium protein,8,0.5,132.0,5e-40,172.0,445.0,0.3
146,3013_g,612,1.0,609.0,A5K8W6,209.0,5.0,209.0,1.0,Myosin A tail domain interacting protein ,30,0.99,122.0,5.999999999999999e-70,268.0,206.0,0.6
147,3014_g,1542,130.0,1533.0,Q4YRL1,474.0,1.0,472.0,1.0,Putative uncharacterized protein (Fragment) ,30,1.02,298.0,2e-167,594.0,483.0,0.62
148,3015_g,135,,,,,,,,,0,,,,,,
149,3016_g,1806,172.0,1800.0,Q8IJY1,635.0,171.0,634.0,1.0,Conserved Plasmodium protein,15,0.39,198.0,3e-124,451.0,248.0,0.8
150,3017_g,330,,,,,,,,,0,,,,,,
151,3018_g,1227,526.0,1224.0,Q8IJY0,426.0,190.0,425.0,1.0,Conserved Plasmodium protein,15,0.55,105.0,2.0000000000000003e-49,202.0,236.0,0.45
152,3019_g,135,,,,,,,,,0,,,,,,
153,3020_g,4759,1804.0,4758.0,Q8II83,1789.0,494.0,1505.0,1.0,Conserved Plasmodium protein,10,0.28,174.0,8.999999999999999e-71,275.0,506.0,0.35
154,3021_g,1173,1.0,1167.0,Q8II84,409.0,1.0,408.0,1.0,Conserved Plasmodium protein,7,1.04,147.0,1e-59,235.0,425.0,0.35
155,3022_g,819,,,,,,,,,0,,,,,,
156,3023_g,1724,318.0,1721.0,Q8ILF9,442.0,1.0,442.0,3.0,Putative uncharacterized protein,6,0.69,218.0,2e-127,462.0,304.0,0.72
157,3024_g,2511,10.0,2457.0,Q8ILF8,876.0,2.0,798.0,1.0,"Exodeoxyribonuclease III, putative",30,0.41,169.0,6e-73,281.0,357.0,0.48
158,3025_g,1131,1.0,1128.0,B3LAP0,376.0,1.0,376.0,1.0,"Actin II, putative",30,1.0,354.0,0.0,733.0,376.0,0.95
159,3026_g,1437,16.0,1386.0,B3LAN9,447.0,7.0,438.0,1.0,"Deoxyhypusine synthase, putative",30,1.02,312.0,1e-146,525.0,457.0,0.69
160,3027_g,3192,1.0,3006.0,Q7RPB2,1034.0,2.0,976.0,1.0,"ATPase, AAA family, putative",30,0.35,242.0,5.999999999999999e-116,424.0,362.0,0.67
161,3028_g,1095,1.0,1092.0,Q7RPB1,411.0,48.0,411.0,1.0,Glycylpeptide N-tetradecanoyltransferase ,30,0.89,245.0,2e-148,530.0,364.0,0.68
162,3029_g,1063,11.0,1060.0,A5K336,510.0,161.0,510.0,2.0,Putative uncharacterized protein,18,0.69,261.0,9e-140,501.0,350.0,0.75
163,3030_g,5034,1.0,5010.0,B3L935,1514.0,1.0,1507.0,1.0,"Histone deactylase, putative",30,0.49,369.0,0.0,685.0,735.0,0.51
164,3031_g,720,,,,,,,,,0,,,,,,
165,3032_g,288,,,,,,,,,0,,,,,,
166,3033_g,2160,1.0,2157.0,O96243,722.0,1.0,722.0,1.0,"Vacuolar protein-sorting protein VPS45, ",30,0.51,248.0,1e-137,496.0,365.0,0.68
167,3034_g,786,40.0,561.0,Q4XAJ9,205.0,8.0,182.0,1.0,Putative uncharacterized protein (Fragment) ,6,0.85,68.0,1.0000000000000001e-23,115.0,175.0,0.39
168,3035_g,1296,253.0,564.0,Q4XMT0,307.0,185.0,297.0,1.0,Putative uncharacterized protein (Fragment) ,3,0.37,43.0,2e-09,69.0,114.0,0.38
169,3036_g,2793,1.0,1080.0,O96244,1643.0,902.0,1246.0,1.0,Conserved Plasmodium protein,5,0.23,119.0,2e-37,163.0,370.0,0.33
170,3037_g,1041,454.0,807.0,C5HEU9,322.0,125.0,242.0,1.0,Apical merozoite protein,23,0.37,62.0,4e-14,84.0,118.0,0.53
171,3038_g,990,4.0,468.0,Q8WT07,280.0,3.0,157.0,1.0,Ran-binding protein,30,0.55,132.0,3e-74,284.0,155.0,0.86
172,3039_g,1215,715.0,1116.0,B3L1M1,565.0,244.0,377.0,1.0,Putative uncharacterized protein,4,0.24,63.0,1.9999999999999998e-26,125.0,134.0,0.48
173,3040_g,423,,,,,,,,,0,,,,,,
174,3041_g,630,58.0,600.0,B3LD04,208.0,28.0,208.0,1.0,Putative uncharacterized protein,12,0.87,87.0,3e-37,159.0,181.0,0.49
175,3042_g,678,55.0,675.0,Q7PDK6,1047.0,846.0,1047.0,1.0,ERYTHROCYTE MEMBRANE PROTEIN PFEMP3,10,0.2,113.0,2.9999999999999997e-44,183.0,209.0,0.55
176,3043_g,6658,5341.0,6309.0,Q8I531,2577.0,2054.0,2399.0,1.0,"Transcription factor with AP2 domain(S), ",19,0.14,203.0,3.9999999999999996e-97,363.0,359.0,0.57
177,3044_g,321,,,,,,,,,0,,,,,,
178,3045_g,183,,,,,,,,,0,,,,,,
179,3046_g,2997,661.0,2979.0,B3L8U5,915.0,53.0,913.0,1.0,Putative uncharacterized protein,30,0.3,156.0,3e-89,336.0,270.0,0.58
180,3047_g,1656,781.0,1650.0,C0H5E6,500.0,246.0,492.0,1.0,Putative uncharacterized protein,6,0.58,151.0,2.9999999999999997e-44,185.0,290.0,0.53
181,3048_g,78,,,,,,,,,0,,,,,,
182,3049_g,3519,292.0,3516.0,Q8IKD0,1095.0,70.0,1095.0,1.0,Reticulocyte binding protein 2 homolog ,14,1.03,506.0,0.0,846.0,1124.0,0.46
183,3050_g,2436,1384.0,1767.0,B9PNI8,1028.0,231.0,359.0,1.0,"Protein kinase, putative",30,0.13,53.0,1e-21,111.0,129.0,0.42
184,3051_g,4740,184.0,4590.0,Q8I4R5,2215.0,671.0,2054.0,1.0,"Rhoptry neck protein 3, putative",10,0.44,328.0,1.0000000000000001e-162,580.0,980.0,0.34
185,3052_g,942,151.0,927.0,Q8I4R5,2215.0,317.0,575.0,1.0,"Rhoptry neck protein 3, putative",6,0.12,92.0,3.9999999999999995e-42,177.0,259.0,0.36
186,3053_g,3261,1.0,2193.0,Q8I466,850.0,1.0,595.0,1.0,"Protein kinase, putative",30,0.36,180.0,2.9999999999999997e-97,362.0,305.0,0.6
187,3054_g,1416,1.0,1407.0,Q8I465,801.0,327.0,800.0,1.0,Unconventional myosin pfm-b,30,0.59,305.0,3.9999999999999996e-172,610.0,474.0,0.65
188,3055_g,303,1.0,273.0,Q9U3U9,801.0,218.0,308.0,1.0,Unconventional myosin PfM-B,30,0.11,66.0,1e-31,140.0,91.0,0.73
189,3056_g,162,,,,,,,,,0,,,,,,
190,3057_g,1065,304.0,1059.0,Q8IJZ0,267.0,4.0,266.0,1.0,Conserved Plasmodium protein,11,0.99,115.0,9e-55,219.0,263.0,0.44
191,3058_g,3276,337.0,3240.0,A5K767,1014.0,1.0,872.0,1.0,Putative uncharacterized protein,9,0.3,148.0,5e-83,315.0,300.0,0.5
